accuse,3,5,10,16,17
acne,4,8,11,13,17
amputate,3,8,12,16,19
anatomy,1,7,10,13,20
ancient,3,5,11,15,18
antibiotic,2,8,10,15,17
approval,4,8,10,15,19
armpit,2,6,11,15,18
artery,1,7,10,15,20
assist,1,8,11,15,19
assurance,3,6,10,13,19
atheist,3,6,9,14,19
attempt,1,5,10,15,17
bacteria,1,6,12,14,17
benign,4,8,10,16,19
biceps,4,6,11,13,18
brace,3,5,10,15,20
cabinet,3,7,9,16,20
cancer,1,7,11,15,19
century,2,6,12,14,17
chaos,3,8,11,15,17
chimney,2,8,10,14,20
cinder,1,7,11,14,18
clavicle,2,7,10,13,20
collapse,2,6,9,14,18
condition,3,6,11,16,19
conscious,4,8,12,16,19
contagious,2,6,11,13,19
council,2,6,11,13,17
crinkle,3,7,10,14,18
curative,2,6,9,14,17
diabetic,2,5,9,15,20
diagnose,2,7,12,16,18
digestive,3,5,9,13,18
disease,1,7,10,14,19
distinct,3,5,9,13,18
eliminate,3,5,9,15,18
entitled,3,7,10,14,18
envy,3,8,9,15,20
epidemic,3,7,12,15,19
epilepsy,3,5,11,14,17
evoke,3,6,10,16,18
float,1,7,12,15,20
gallant ,3,8,11,13,19
generate,1,6,11,14,19
genetic,4,6,9,14,18
genuine,1,7,10,13,20
germ,2,5,11,14,19
gradual,4,8,10,14,17
hesitate,2,8,11,14,17
highborn,4,7,12,14,17
identify,4,5,9,14,18
illustrate,1,5,12,16,19
immunity,1,7,12,13,20
immunize,2,8,12,15,18
implode,4,8,12,14,20
influenza,1,7,11,14,20
inform,2,6,9,16,20
innocent,4,6,12,15,19
intestine,4,8,9,16,19
invisible,3,7,9,15,20
judgement,4,6,11,13,18
maintenance,1,7,12,15,19
measles,4,6,10,16,20
molar,2,8,11,16,17
molecule,2,5,11,16,17
motion,3,8,11,13,20
muscular,4,8,12,16,18
negotiate,3,6,9,15,20
nerve,2,5,9,13,18
nourish,1,6,10,16,18
nutrient,4,7,10,14,17
obesity,2,5,11,14,19
offend,3,7,11,15,20
operate,2,6,9,14,19
organic,2,7,12,15,19
pancreas,4,5,9,13,17
parallel,3,6,12,14,17
peaceful,1,5,11,13,20
persuasive,1,8,9,14,20
pill,3,8,11,13,17
prescribe,2,8,10,16,17
prohibition,2,7,10,16,19
pry,4,7,9,14,20
quote,4,7,12,16,18
racial,1,8,12,16,18
radiation,1,8,11,15,19
recover,1,6,11,13,18
recruit,1,5,10,16,19
ruin,3,6,10,13,17
satisfactory,4,5,12,16,18
scabies,1,6,12,13,17
scripture,3,8,12,15,19
seizure,4,7,12,13,19
shoulder,3,6,12,15,19
skeleton,2,7,12,16,17
sphere,2,8,11,13,18
sprain,1,6,9,13,17
spread,4,6,9,13,19
sterilize,1,5,11,15,18
sufficient,4,5,9,15,20
surgery,1,8,12,16,20
survive,2,5,9,13,18
suspicious,1,5,10,15,20
symptom,1,8,9,13,20
syndrome,3,8,10,14,17
taboo,2,7,9,15,19
tactic,2,5,9,16,17
tissue,4,8,9,14,20
tongue,4,7,9,16,20
transplant,4,7,10,14,17
twelfth,2,5,10,13,20
typhoid,4,5,12,16,17
undermine,4,6,12,13,18
urine,4,6,12,15,18
vein,1,5,10,16,17
virus,2,5,9,16,20
vomit,1,5,12,16,18
weird,3,5,11,14,18
wound,4,7,10,13,17
